monitorId,attribute1,attribute2,attribute3,attribute4,time
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.refresh",1477548406979
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.refresh",1477548459832
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.refresh",1477548463810
org.zend.viewsUsageMonitor,activated,org.eclipse.debug.ui.PHPDebugOutput,org.eclipse.php.perspective,"view",1477548696203
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477548893080
org.zend.contentAssistMonitor,fetchAll($sql) - pubilc_function.php,false,fetch,"2511",1477549223484
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477549233827
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.undo",1477549248369
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.undo",1477549252331
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477549260240
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477549399720
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477549404213
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477549456553
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477549459299
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477549465632
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477549486775
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477549491611
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477549515827
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477549677052
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477549730191
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477549740309
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477549742960
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477549763960
org.zend.commandUsageMonitor,executed,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,,"org.eclipse.ui.file.saveAll",1477549855018
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477549862087
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.import",1477549989222
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477550055915
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477550119872
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477550251023
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477550352819
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477550579816
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477550688330
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477550690198
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477552205589
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552210968
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477552362068
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.edit.paste",1477552416568
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552421832
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477552454599
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.debug",1477552465429
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552472207
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477552513560
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477552582158
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477552612712
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552617116
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552859479
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552884648
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.ui.file.save",1477552929580
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552939146
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552961176
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477552991888
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477553056983
org.zend.commandUsageMonitor,executed,org.eclipse.php.editor,,"org.eclipse.php.server.ui.phpServerShortcut.run",1477553127584
